transcript_id	gene_id	0	10	18	24	30	40	48	56	64	72
NM_001129810.1	Dlx	0.08	0.49	4.44	54.925	68.48	64.79	55.55	53.44	44.74	44.22
NM_001129815.1	E2E3	11.37	32.05	218.96	139.49	111.69	38.74	24.59	21.47	40.28	46.16
NM_214532.1	ECaSt/PDI	128.35	141.36	122.66	313.58000000000004	254.52	243.65	206.54	184.96	289.45	228.85
XM_030983884.1	ECaSt/PDI	27.91	79.93	70.79	100.3	127.13	81.76	78.72	58.75	186.09	138.39
NM_214531.1	EGF2	0.52	13.61	639.91	137.745	1011.44	623.65	302.51	373.23	243.48	171.00
XM_030985278.1	EGF2	11.14	86.11	4614.23	13975.94	9800.72	9517.70	5273.24	7599.66	3427.53	2698.28
XM_030985279.1	EGF2	0.00	0.00	0.35	1.355	0.71	0.88	0.35	0.00	0.00	0.00
NM_214538.1	EGFIII	147.63	603.95	2302.37	3735.5249999999996	2099.10	1597.46	852.81	1124.03	638.00	508.04
NM_001128066.1	EH1	62.21	35.57	42.95	21.915	23.70	28.39	44.11	24.31	77.03	82.62
NM_214468.1	EMAP	143.58	56.13	60.06	207.745	247.52	149.91	101.56	95.54	112.11	109.15
NM_001242652.1	Echs1	7.30	27.09	27.35	55.455	45.68	62.64	94.81	75.03	182.25	180.84
NM_001129807.2	Ecr/Fxr	28.75	10.60	0.79	6.665	8.11	23.81	19.38	17.61	7.18	16.12
XR_004064463.1	Ecr/Fxr	6.88	7.75	2.15	7.41	12.78	6.35	6.53	3.71	14.05	12.53
NM_214627.2	Elk	0.00	12.88	9.61	13.14	9.85	11.65	10.29	9.77	8.39	7.17
XM_011683819.2	Elk	0.43	21.53	26.94	16.515	16.60	8.37	6.64	3.10	13.40	11.84
XM_011683820.2	Elk	0.00	5.76	2.68	1.79	1.61	0.40	0.43	1.62	0.96	1.65
NM_214519.1	Endo16	0.06	0.05	19.83	221.695	169.73	145.06	94.40	91.74	57.29	39.30
NM_214534.1	Ets4	784.78	1205.49	38.88	40.25	17.05	13.53	11.85	8.94	10.75	8.18
NM_001124764.1	FGF	0.15	0.37	5.74	34.3	37.43	40.54	31.51	29.82	29.85	37.54
NM_214537.1	FGFR	4.15	0.49	0.00	3.3899999999999997	9.96	32.75	25.48	28.26	0.00	8.56
XM_011673874.2	FGFR	2.78	6.34	75.77	49.010000000000005	77.12	40.44	27.53	20.85	57.25	38.30
XM_011673876.2	FGFR	0.00	0.00	6.12	19.785	23.27	6.88	4.54	3.54	6.36	6.30
NM_001172052.1	FGFRL1	0.90	1.79	18.11	30.46	49.43	72.12	60.20	62.23	62.32	65.55
XM_011682865.2	FRK	0.00	0.12	0.00	0.05	0.00	0.10	0.00	0.13	0.00	0.00
XM_030983427.1	FRK	0.25	0.03	0.20	0.485	1.47	1.19	1.24	0.69	1.19	0.95
